id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,detailed_mood,instrumentalness,live_feel
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,88,2020,euphoric|bright|uplifting,0.05,0.24
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,75,2020,focused|calm|study,0.58,0.10
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,80,2010,aggressive|driving|epic,0.03,0.34
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,69,2020,calm|rainy|cozy,0.72,0.08
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,91,2020,confident|hype|workout,0.02,0.29
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,63,2010,dreamy|floating|meditative,0.84,0.05
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,67,2000,warm|laid-back|cozy,0.41,0.18
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,84,2010,nostalgic|neon|driving,0.09,0.14
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,77,2020,study|steady|minimal,0.67,0.07
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,82,2020,bright|carefree|summer,0.06,0.22
11,Velvet Static,Nova Youth,indie,moody,0.58,102,0.46,0.63,0.27,72,2010,brooding|late-night|cool,0.12,0.17
12,Golden Hour Run,Skyline Kids,pop,happy,0.79,126,0.88,0.86,0.12,86,2020,uplifting|sunny|energetic,0.04,0.20
13,Basement Echoes,Iron Vale,rock,moody,0.73,140,0.39,0.58,0.08,70,2000,gritty|dark|driving,0.02,0.31
14,Ocean Window,Blue Atlas,ambient,calm,0.22,58,0.68,0.33,0.95,60,2020,peaceful|sleepy|airy,0.91,0.03
15,Sidewalk Daydream,Mint Polaroid,indie pop,happy,0.64,116,0.83,0.77,0.31,78,2010,sweet|daydreamy|light,0.05,0.19
16,After Class Bounce,Pixel Hearts,hyperpop,energetic,0.96,146,0.74,0.91,0.07,74,2020,chaotic|playful|hype,0.01,0.27
17,Analog Hearts,Static Sunset,synthwave,romantic,0.68,108,0.72,0.70,0.24,73,2010,nostalgic|warm|night,0.08,0.16
18,Fireside Letters,Maple Harbor,acoustic,calm,0.31,84,0.76,0.49,0.97,66,2000,gentle|intimate|warm,0.18,0.11
19,Marble Halls,Quiet Theory,classical,focused,0.26,70,0.52,0.18,0.94,62,1990,study|precise|instrumental,0.96,0.04
20,City Sparks,Rush District,edm,energetic,0.95,150,0.69,0.92,0.03,85,2020,festival|hype|night,0.00,0.36
